,ArticleTitle,Question,Answer,DifficultyFromQuestioner,DifficultyFromAnswerer,ArticleFile
0,abraham_lincoln,was abraham lincoln the sixteenth president of the united states  ?,yes,easy,easy,S08_set3_a4
1,abraham_lincoln,was abraham lincoln the sixteenth president of the united states  ?,yes,easy,easy,S08_set3_a4
2,abraham_lincoln,did lincoln sign the national banking act of 1863  ?,yes,easy,medium,S08_set3_a4
3,abraham_lincoln,did lincoln sign the national banking act of 1863  ?,yes,easy,easy,S08_set3_a4
4,abraham_lincoln,did his mother die of pneumonia  ?,no,easy,medium,S08_set3_a4
5,abraham_lincoln,did his mother die of pneumonia  ?,no,easy,easy,S08_set3_a4
6,abraham_lincoln,how many long was lincolns formal education  ?,18 months,medium,easy,S08_set3_a4
7,abraham_lincoln,how many long was lincolns formal education  ?,18 months,medium,medium,S08_set3_a4
8,abraham_lincoln,when did lincoln begin his political career  ?,1832,medium,easy,S08_set3_a4
9,abraham_lincoln,when did lincoln begin his political career  ?,1832,medium,medium,S08_set3_a4
10,abraham_lincoln,what did the legal tender act of 1862 establish  ?,the united states note the first paper currency in united states history,medium,easy,S08_set3_a4
11,abraham_lincoln,what did the legal tender act of 1862 establish  ?,the united states note the first paper currency in united states history,medium,medium,S08_set3_a4
12,abraham_lincoln,who suggested lincoln grow a beard  ?,11yearold grace bedell,hard,medium,S08_set3_a4
13,abraham_lincoln,who suggested lincoln grow a beard  ?,grace bedell,hard,medium,S08_set3_a4
14,abraham_lincoln,when did the gettysburg address argue that america was born  ?,1776,hard,hard,S08_set3_a4
15,abraham_lincoln,when did the gettysburg address argue that america was born  ?,1776,hard,hard,S08_set3_a4
16,abraham_lincoln,did lincoln beat john c breckinridge in the 1860 election  ?,yes,hard,medium,S08_set3_a4
17,abraham_lincoln,did lincoln beat john c breckinridge in the 1860 election  ?,yes,hard,hard,S08_set3_a4
18,abraham_lincoln,was abraham lincoln the first president of the united states  ?,no,easy,easy,S08_set3_a4
19,abraham_lincoln,was abraham lincoln the first president of the united states  ?,no,easy,medium,S08_set3_a4
20,abraham_lincoln,did lincoln start his political career in 1832  ?,yes,easy,easy,S08_set3_a4
